Datetime,Tweet Id,Text,Username
2021-11-04 03:50:51+00:00,1456106644492861448,"Wow this is excellent #TheHarderTheyFall
https://t.co/LTOv9fKZ8P",jack
2021-11-03 17:44:00+00:00,1455953925530476546,@adamcurry @Twitter @ademcurry will look into it. I don't know if federation necessarily fixes this issue...but we're working to decentralize too: @bluesky,jack
2021-11-03 17:06:07+00:00,1455944391604850689,@saylor Not yet...,jack
2021-11-03 17:02:43+00:00,1455943535727841280,Cash App is now available for everyone 13 and older https://t.co/TeK8uPQ9Tt,jack
2021-11-03 17:01:59+00:00,1455943350817681409,@mrdonut @CashApp a start: https://t.co/TeK8uPQ9Tt,jack
2021-11-01 16:42:16+00:00,1455213611526209551,John @ID_AA_Carmack is amazing https://t.co/062bPtTYcG,jack
2021-10-31 19:29:10+00:00,1454893228658884616,https://t.co/AJ1hI8p3u8,jack
2021-10-31 07:21:00+00:00,1454709976346157057,"""I've been working on a new electronic cash system that's fully peer-to-peer, with no trusted third party.""

#thankyousatoshi

https://t.co/cz3yYo4UEw",jack
2021-10-31 03:23:16+00:00,1454650148911411200,apps have distracted me from just how powerful the web is,jack
2021-10-30 21:21:02+00:00,1454558992525496327,@buzz Now do metaverse,jack
2021-10-30 17:53:09+00:00,1454506673767211008,damn https://t.co/PpurwD8lqB,jack
2021-10-30 13:43:35+00:00,1454443869605490690,great interview https://t.co/cDhETkn3Dw,jack
2021-10-30 06:01:23+00:00,1454327554630766594,damn https://t.co/hirXmxa2gS,jack
2021-10-30 05:53:19+00:00,1454325521886552073,"is there a more honest market than Bitcoin?

(obviously I don't think so)",jack
2021-10-30 05:02:51+00:00,1454312823685726220,@mrdonut @CashApp working on it,jack
2021-10-29 22:54:38+00:00,1454220157220364288,Hiro https://t.co/DKtVzNJakL,jack
2021-10-29 19:28:01+00:00,1454168163382300673,@TomBalawejder neither,jack
2021-10-29 19:18:14+00:00,1454165699983667201,"what's measured matters
https://t.co/PInFfExuhB
https://t.co/Yuy4Hjlosv",jack
2021-10-28 23:46:39+00:00,1453870861828558851,@BessingerKrista 🙏,jack
2021-10-28 22:35:59+00:00,1453853075995648000,@dhof Meta,jack
2021-10-28 18:24:17+00:00,1453789734791090189,meta: referring to itself or to the conventions of its genre; self-referential.,jack
2021-10-28 00:46:14+00:00,1453523465919627264,rusty 🎄 https://t.co/JtApg2lyod,jack
2021-10-27 02:52:28+00:00,1453192845565644807,💯 https://t.co/pgx14i8mEb,jack
